p0 init
p1 init
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 send p1 4559000
p1 recv p0
p0 sleep 0.05
p1 sleep 0.05
p0 send p1 10000
p1 recv p0
p1 send p0 10000
p0 recv p1
p0 sleep 0.0984825
p1 sleep 0.0984825
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 send p1 4559000
p1 recv p0
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 send p1 4559000
p1 recv p0
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 send p1 4559000
p1 recv p0
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 send p1 4559000
p1 recv p0
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 send p1 4559000
p1 recv p0
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 send p1 4559000
p1 recv p0
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 send p1 4559000
p1 recv p0
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 send p1 4559000
p1 recv p0
p0 sleep 0.05
p1 sleep 0.05
p0 compute 25000000
p1 compute 25000000
p0 sleep 0.05
p1 sleep 0.05
p0 send p1 4559000
p1 recv p0
p0 sleep 0.05
p1 sleep 0.05
